variant,year,K,n_draws,tau_absolute_min,tau_absolute_max,metric,mean,sd,p05,p50,p95
resampled_voters,2002,15,100,0.06799044297046607,0.3995835833810141,top3_acc,0.0,0.0,0.0,0.0,0.0
resampled_voters,2002,15,100,0.06799044297046607,0.3995835833810141,top4_acc,0.0,0.0,0.0,0.0,0.0
resampled_voters,2002,15,100,0.06799044297046607,0.3995835833810141,trigger_rate,0.489345,0.18748297828460228,0.152475,0.5675,0.691225
resampled_voters,2022,12,100,0.08498805371308257,0.49947947922626756,cliff_magnitude,0.078235,0.018339180197136137,0.044924999999999986,0.08224999999999999,0.10715000000000001
resampled_voters,2022,12,100,0.08498805371308257,0.49947947922626756,cliff_ratio,0.8378542567890769,0.05336028489464236,0.7365101966807457,0.8558630722762334,0.8987003963244456
resampled_voters,2022,12,100,0.08498805371308257,0.49947947922626756,conditional_switching_rate,0.26251398670739795,0.23925763168519965,0.0,0.2465804280595632,0.7325051455896988
resampled_voters,2022,12,100,0.08498805371308257,0.49947947922626756,delta_cenp,0.0598725252866396,0.07062732460967193,-0.019687426406718663,0.03742121623183001,0.1915639056894377
resampled_voters,2022,12,100,0.08498805371308257,0.49947947922626756,delta_enp,-0.6585977781530356,0.7769005707063912,-2.107202962583816,-0.41163337855013005,0.2165616904739053
resampled_voters,2022,12,100,0.08498805371308257,0.49947947922626756,enp_final,7.250895891140784,0.759931040279174,5.720930934867082,7.356700417941099,8.129895326522224
resampled_voters,2022,12,100,0.08498805371308257,0.49947947922626756,enp_sincere,7.909493669293821,0.13831448220539747,7.66285726888052,7.922911036815869,8.111362902148322
resampled_voters,2022,12,100,0.08498805371308257,0.49947947922626756,mae,0.09713866589984663,0.008877093854947315,0.08051179902647197,0.09741094052143764,0.10759360205374409
resampled_voters,2022,12,100,0.08498805371308257,0.49947947922626756,rmse,0.12243396875553461,0.007073496930115642,0.1109448589293124,0.12406485990243069,0.1308101603734525
resampled_voters,2022,12,100,0.08498805371308257,0.49947947922626756,switching_rate,0.140595,0.11354800735700944,0.0,0.13425,0.31532499999999997
resampled_voters,2022,12,100,0.08498805371308257,0.49947947922626756,top2_acc,0.0,0.0,0.0,0.0,0.0
resampled_voters,2022,12,100,0.08498805371308257,0.49947947922626756,top3_acc,0.0,0.0,0.0,0.0,0.0
resampled_voters,2022,12,100,0.08498805371308257,0.49947947922626756,top4_acc,0.0,0.0,0.0,0.0,0.0
resampled_voters,2022,12,100,0.08498805371308257,0.49947947922626756,trigger_rate,0.5341450000000001,0.17085300396728897,0.36145,0.421,0.8536
